Array Size: 4000, Search Value: 2010, Comparisons: 12, Time: 351ms, Found: 1
Array Size: 5000, Search Value: 8676, Comparisons: 12, Time: 497ms, Found: 1
Array Size: 5000, Search Value: 5140, Comparisons: 11, Time: 420ms, Found: 1
Array Size: 5000, Search Value: 5834, Comparisons: 12, Time: 715ms, Found: 1
Array Size: 5000, Search Value: 5467, Comparisons: 13, Time: 494ms, Found: 1
Array Size: 5000, Search Value: 1596, Comparisons: 13, Time: 1099ms, Found: 1
Array Size: 5000, Search Value: 5362, Comparisons: 11, Time: 569ms, Found: 1
Array Size: 5000, Search Value: 2349, Comparisons: 11, Time: 721ms, Found: 1
Array Size: 5000, Search Value: 9148, Comparisons: 13, Time: 869ms, Found: 1
Array Size: 5000, Search Value: 2462, Comparisons: 13, Time: 559ms, Found: 1
Array Size: 5000, Search Value: 2000, Comparisons: 11, Time: 437ms, Found: 1
Array Size: 5000, Search Value: 4048, Comparisons: 11, Time: 819ms, Found: 1
Array Size: 5000, Search Value: 894, Comparisons: 11, Time: 682ms, Found: 1
Array Size: 5000, Search Value: 4188, Comparisons: 11, Time: 611ms, Found: 1
Array Size: 5000, Search Value: 7693, Comparisons: 11, Time: 739ms, Found: 1
Array Size: 5000, Search Value: 7365, Comparisons: 12, Time: 444ms, Found: 1
Array Size: 5000, Search Value: 3172, Comparisons: 11, Time: 1125ms, Found: 1
Array Size: 5000, Search Value: 7560, Comparisons: 13, Time: 637ms, Found: 1
Array Size: 5000, Search Value: 4050, Comparisons: 10, Time: 798ms, Found: 1
Array Size: 5000, Search Value: 7439, Comparisons: 11, Time: 384ms, Found: 1
Array Size: 5000, Search Value: 4557, Comparisons: 12, Time: 630ms, Found: 1
Array Size: 5000, Search Value: 1761, Comparisons: 11, Time: 755ms, Found: 1
Array Size: 5000, Search Value: 7529, Comparisons: 9, Time: 501ms, Found: 1
Array Size: 5000, Search Value: 1659, Comparisons: 12, Time: 376ms, Found: 1
Array Size: 5000, Search Value: 5459, Comparisons: 11, Time: 659ms, Found: 1
Array Size: 5000, Search Value: 8095, Comparisons: 10, Time: 366ms, Found: 1
Array Size: 5000, Search Value: 6790, Comparisons: 10, Time: 591ms, Found: 1
Array Size: 5000, Search Value: 8839, Comparisons: 12, Time: 469ms, Found: 1
Array Size: 5000, Search Value: 6205, Comparisons: 9, Time: 577ms, Found: 1
Array Size: 5000, Search Value: 7189, Comparisons: 12, Time: 472ms, Found: 1
Array Size: 5000, Search Value: 1094, Comparisons: 12, Time: 596ms, Found: 1
Array Size: 5000, Search Value: 3050, Comparisons: 11, Time: 555ms, Found: 1
Array Size: 5000, Search Value: 1573, Comparisons: 11, Time: 527ms, Found: 1
Array Size: 5000, Search Value: 4876, Comparisons: 10, Time: 607ms, Found: 1
Array Size: 5000, Search Value: 4370, Comparisons: 12, Time: 459ms, Found: 1
Array Size: 5000, Search Value: 1433, Comparisons: 10, Time: 429ms, Found: 1
Array Size: 5000, Search Value: 3182, Comparisons: 12, Time: 605ms, Found: 1
Array Size: 5000, Search Value: 3377, Comparisons: 11, Time: 346ms, Found: 1
Array Size: 5000, Search Value: 9547, Comparisons: 10, Time: 760ms, Found: 1
Array Size: 5000, Search Value: 9101, Comparisons: 12, Time: 439ms, Found: 1
Array Size: 5000, Search Value: 1758, Comparisons: 12, Time: 526ms, Found: 1
Array Size: 5000, Search Value: 5911, Comparisons: 12, Time: 533ms, Found: 1
Array Size: 5000, Search Value: 1207, Comparisons: 12, Time: 429ms, Found: 1
Array Size: 5000, Search Value: 8939, Comparisons: 11, Time: 619ms, Found: 1
Array Size: 5000, Search Value: 6628, Comparisons: 12, Time: 628ms, Found: 1
Array Size: 5000, Search Value: 1975, Comparisons: 10, Time: 720ms, Found: 1
Array Size: 5000, Search Value: 8045, Comparisons: 12, Time: 455ms, Found: 1
Array Size: 5000, Search Value: 9176, Comparisons: 8, Time: 461ms, Found: 1
Array Size: 5000, Search Value: 8610, Comparisons: 12, Time: 356ms, Found: 1
Array Size: 5000, Search Value: 8168, Comparisons: 11, Time: 525ms, Found: 1
Array Size: 5000, Search Value: 8988, Comparisons: 11, Time: 435ms, Found: 1
Array Size: 6000, Search Value: 7689, Comparisons: 9, Time: 520ms, Found: 1
Array Size: 6000, Search Value: 2530, Comparisons: 12, Time: 503ms, Found: 1
Array Size: 6000, Search Value: 11798, Comparisons: 13, Time: 537ms, Found: 1
Array Size: 6000, Search Value: 6674, Comparisons: 8, Time: 623ms, Found: 1
Array Size: 6000, Search Value: 8466, Comparisons: 11, Time: 694ms, Found: 1
Array Size: 6000, Search Value: 9263, Comparisons: 11, Time: 537ms, Found: 1
Array Size: 6000, Search Value: 7969, Comparisons: 10, Time: 942ms, Found: 1
Array Size: 6000, Search Value: 6137, Comparisons: 12, Time: 510ms, Found: 1
Array Size: 6000, Search Value: 4893, Comparisons: 12, Time: 798ms, Found: 1
Array Size: 6000, Search Value: 1008, Comparisons: 11, Time: 409ms, Found: 1
Array Size: 6000, Search Value: 2067, Comparisons: 11, Time: 508ms, Found: 1
Array Size: 6000, Search Value: 11947, Comparisons: 13, Time: 327ms, Found: 1
Array Size: 6000, Search Value: 11408, Comparisons: 13, Time: 448ms, Found: 1
Array Size: 6000, Search Value: 11309, Comparisons: 7, Time: 311ms, Found: 1
Array Size: 6000, Search Value: 6810, Comparisons: 11, Time: 521ms, Found: 1
Array Size: 6000, Search Value: 3489, Comparisons: 11, Time: 455ms, Found: 1
Array Size: 6000, Search Value: 8707, Comparisons: 11, Time: 411ms, Found: 1
Array Size: 6000, Search Value: 2880, Comparisons: 10, Time: 620ms, Found: 1
Array Size: 6000, Search Value: 398, Comparisons: 11, Time: 441ms, Found: 1
Array Size: 6000, Search Value: 621, Comparisons: 12, Time: 660ms, Found: 1
Array Size: 6000, Search Value: 848, Comparisons: 12, Time: 481ms, Found: 1
Array Size: 6000, Search Value: 10705, Comparisons: 13, Time: 440ms, Found: 1
Array Size: 6000, Search Value: 1418, Comparisons: 12, Time: 398ms, Found: 1
Array Size: 6000, Search Value: 8103, Comparisons: 13, Time: 690ms, Found: 1
Array Size: 6000, Search Value: 1903, Comparisons: 11, Time: 793ms, Found: 1
Array Size: 6000, Search Value: 6476, Comparisons: 12, Time: 529ms, Found: 1
Array Size: 6000, Search Value: 3206, Comparisons: 10, Time: 495ms, Found: 1
Array Size: 6000, Search Value: 17, Comparisons: 10, Time: 142ms, Found: 1
Array Size: 6000, Search Value: 6029, Comparisons: 13, Time: 252ms, Found: 1
Array Size: 6000, Search Value: 3362, Comparisons: 13, Time: 505ms, Found: 1
Array Size: 6000, Search Value: 1939, Comparisons: 11, Time: 687ms, Found: 1
Array Size: 6000, Search Value: 8886, Comparisons: 12, Time: 234ms, Found: 1
Array Size: 6000, Search Value: 290, Comparisons: 13, Time: 305ms, Found: 1
Array Size: 6000, Search Value: 7626, Comparisons: 12, Time: 584ms, Found: 1
Array Size: 6000, Search Value: 7989, Comparisons: 10, Time: 902ms, Found: 1
Array Size: 6000, Search Value: 4819, Comparisons: 11, Time: 313ms, Found: 1
Array Size: 6000, Search Value: 3872, Comparisons: 11, Time: 548ms, Found: 1
Array Size: 6000, Search Value: 3291, Comparisons: 11, Time: 415ms, Found: 1
Array Size: 6000, Search Value: 2954, Comparisons: 12, Time: 493ms, Found: 1
Array Size: 6000, Search Value: 8789, Comparisons: 12, Time: 316ms, Found: 1
Array Size: 6000, Search Value: 8284, Comparisons: 11, Time: 415ms, Found: 1
Array Size: 6000, Search Value: 7281, Comparisons: 5, Time: 260ms, Found: 1
Array Size: 6000, Search Value: 4539, Comparisons: 12, Time: 447ms, Found: 1
Array Size: 6000, Search Value: 6226, Comparisons: 9, Time: 547ms, Found: 1
Array Size: 6000, Search Value: 1668, Comparisons: 12, Time: 652ms, Found: 1
Array Size: 6000, Search Value: 10937, Comparisons: 11, Time: 399ms, Found: 1
Array Size: 6000, Search Value: 2798, Comparisons: 11, Time: 497ms, Found: 1
Array Size: 6000, Search Value: 3843, Comparisons: 13, Time: 504ms, Found: 1
Array Size: 6000, Search Value: 11694, Comparisons: 12, Time: 554ms, Found: 1
Array Size: 6000, Search Value: 2281, Comparisons: 12, Time: 731ms, Found: 1
Array Size: 7000, Search Value: 10610, Comparisons: 10, Time: 390ms, Found: 1
Array Size: 7000, Search Value: 6902, Comparisons: 10, Time: 515ms, Found: 1
Array Size: 7000, Search Value: 8384, Comparisons: 10, Time: 421ms, Found: 1
Array Size: 7000, Search Value: 7510, Comparisons: 13, Time: 686ms, Found: 1
Array Size: 7000, Search Value: 11456, Comparisons: 10, Time: 465ms, Found: 1
Array Size: 7000, Search Value: 1820, Comparisons: 12, Time: 790ms, Found: 1
Array Size: 7000, Search Value: 11442, Comparisons: 12, Time: 501ms, Found: 1
Array Size: 7000, Search Value: 13151, Comparisons: 13, Time: 496ms, Found: 1
Array Size: 7000, Search Value: 5563, Comparisons: 9, Time: 561ms, Found: 1
Array Size: 7000, Search Value: 11654, Comparisons: 12, Time: 361ms, Found: 1
Array Size: 7000, Search Value: 1694, Comparisons: 12, Time: 466ms, Found: 1
Array Size: 7000, Search Value: 3395, Comparisons: 12, Time: 521ms, Found: 1
Array Size: 7000, Search Value: 7626, Comparisons: 10, Time: 430ms, Found: 1
Array Size: 7000, Search Value: 12503, Comparisons: 13, Time: 760ms, Found: 1
Array Size: 7000, Search Value: 3697, Comparisons: 11, Time: 850ms, Found: 1
Array Size: 7000, Search Value: 13081, Comparisons: 10, Time: 519ms, Found: 1
Array Size: 7000, Search Value: 5265, Comparisons: 10, Time: 523ms, Found: 1
Array Size: 7000, Search Value: 5016, Comparisons: 11, Time: 535ms, Found: 1
Array Size: 7000, Search Value: 7938, Comparisons: 11, Time: 707ms, Found: 1
Array Size: 7000, Search Value: 8937, Comparisons: 12, Time: 679ms, Found: 1
Array Size: 7000, Search Value: 11551, Comparisons: 12, Time: 517ms, Found: 1
Array Size: 7000, Search Value: 4193, Comparisons: 13, Time: 481ms, Found: 1
Array Size: 7000, Search Value: 1272, Comparisons: 11, Time: 478ms, Found: 1
Array Size: 7000, Search Value: 1600, Comparisons: 13, Time: 1073ms, Found: 1
Array Size: 7000, Search Value: 10378, Comparisons: 10, Time: 864ms, Found: 1
Array Size: 7000, Search Value: 6467, Comparisons: 13, Time: 723ms, Found: 1
Array Size: 7000, Search Value: 9792, Comparisons: 12, Time: 902ms, Found: 1
Array Size: 7000, Search Value: 9566, Comparisons: 12, Time: 587ms, Found: 1
Array Size: 7000, Search Value: 12458, Comparisons: 12, Time: 469ms, Found: 1
Array Size: 7000, Search Value: 5219, Comparisons: 13, Time: 797ms, Found: 1
Array Size: 7000, Search Value: 7822, Comparisons: 7, Time: 417ms, Found: 1
Array Size: 7000, Search Value: 97, Comparisons: 12, Time: 482ms, Found: 1
Array Size: 7000, Search Value: 9050, Comparisons: 12, Time: 791ms, Found: 1
Array Size: 7000, Search Value: 5052, Comparisons: 12, Time: 762ms, Found: 1
Array Size: 7000, Search Value: 9011, Comparisons: 10, Time: 542ms, Found: 1
Array Size: 7000, Search Value: 4339, Comparisons: 13, Time: 720ms, Found: 1
Array Size: 7000, Search Value: 7225, Comparisons: 12, Time: 381ms, Found: 1
Array Size: 7000, Search Value: 10440, Comparisons: 11, Time: 462ms, Found: 1
Array Size: 7000, Search Value: 4213, Comparisons: 11, Time: 408ms, Found: 1
Array Size: 7000, Search Value: 13479, Comparisons: 12, Time: 548ms, Found: 1
