Array Size: 4000, Search Value: 10, Comparisons: 11, Time: 334ms, Found: 0
Array Size: 4000, Search Value: 2, Comparisons: 11, Time: 311ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 312ms, Found: 0
Array Size: 4000, Search Value: 3, Comparisons: 11, Time: 229ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 288ms, Found: 0
Array Size: 4000, Search Value: 7, Comparisons: 11, Time: 400ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 359ms, Found: 0
Array Size: 4000, Search Value: 3, Comparisons: 11, Time: 397ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 362ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 375ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 223ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 363ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 375ms, Found: 0
Array Size: 4000, Search Value: 7, Comparisons: 11, Time: 312ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 282ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 337ms, Found: 0
Array Size: 4000, Search Value: 5, Comparisons: 11, Time: 860ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 433ms, Found: 0
Array Size: 4000, Search Value: 2, Comparisons: 11, Time: 240ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 269ms, Found: 0
Array Size: 4000, Search Value: 8, Comparisons: 11, Time: 368ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 318ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 518ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 362ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 340ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 173ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 377ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 264ms, Found: 0
Array Size: 4000, Search Value: 5, Comparisons: 11, Time: 301ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 454ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 252ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 432ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 250ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 203ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 390ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 321ms, Found: 0
Array Size: 4000, Search Value: 3, Comparisons: 11, Time: 381ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 365ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 344ms, Found: 0
Array Size: 4000, Search Value: 1, Comparisons: 11, Time: 302ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 387ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 358ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 269ms, Found: 0
Array Size: 4000, Search Value: 0, Comparisons: 11, Time: 344ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 487ms, Found: 0
Array Size: 4000, Search Value: -1, Comparisons: 11, Time: 309ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 765ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 402ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 317ms, Found: 0
Array Size: 5000, Search Value: 3, Comparisons: 12, Time: 334ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 363ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 363ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 484ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 623ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 376ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 431ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 512ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 922ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 775ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 865ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 360ms, Found: 0
Array Size: 5000, Search Value: 2, Comparisons: 12, Time: 549ms, Found: 0
Array Size: 5000, Search Value: 4, Comparisons: 12, Time: 333ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 416ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 311ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 395ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 791ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 281ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 304ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 291ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 395ms, Found: 0
Array Size: 5000, Search Value: 6, Comparisons: 12, Time: 959ms, Found: 0
Array Size: 5000, Search Value: 2, Comparisons: 12, Time: 286ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 280ms, Found: 0
Array Size: 5000, Search Value: 5, Comparisons: 12, Time: 299ms, Found: 0
