Array Size: 3000, Search Value: 5976, Comparisons: 12, Time: 393ms, Found: 1
Array Size: 3000, Search Value: 5979, Comparisons: 10, Time: 314ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 12, Time: 424ms, Found: 1
Array Size: 3000, Search Value: 5987, Comparisons: 12, Time: 801ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 12, Time: 597ms, Found: 1
Array Size: 3000, Search Value: 5979, Comparisons: 12, Time: 545ms, Found: 1
Array Size: 3000, Search Value: 5984, Comparisons: 11, Time: 380ms, Found: 1
Array Size: 3000, Search Value: 5980, Comparisons: 10, Time: 283ms, Found: 1
Array Size: 3000, Search Value: 5986, Comparisons: 12, Time: 307ms, Found: 1
Array Size: 3000, Search Value: 5986, Comparisons: 12, Time: 408ms, Found: 1
Array Size: 3000, Search Value: 5980, Comparisons: 12, Time: 385ms, Found: 1
Array Size: 3000, Search Value: 5973, Comparisons: 10, Time: 325ms, Found: 1
Array Size: 3000, Search Value: 5983, Comparisons: 12, Time: 347ms, Found: 1
Array Size: 3000, Search Value: 5982, Comparisons: 12, Time: 6131ms, Found: 1
Array Size: 3000, Search Value: 5976, Comparisons: 12, Time: 342ms, Found: 1
Array Size: 3000, Search Value: 5986, Comparisons: 10, Time: 435ms, Found: 1
Array Size: 3000, Search Value: 5984, Comparisons: 10, Time: 1134ms, Found: 1
Array Size: 3000, Search Value: 5983, Comparisons: 12, Time: 560ms, Found: 1
Array Size: 3000, Search Value: 5965, Comparisons: 12, Time: 324ms, Found: 1
Array Size: 3000, Search Value: 5978, Comparisons: 12, Time: 318ms, Found: 1
Array Size: 3000, Search Value: 5985, Comparisons: 10, Time: 328ms, Found: 1
Array Size: 4000, Search Value: 7987, Comparisons: 11, Time: 444ms, Found: 1
Array Size: 4000, Search Value: 7984, Comparisons: 11, Time: 421ms, Found: 1
Array Size: 4000, Search Value: 7977, Comparisons: 11, Time: 329ms, Found: 1
Array Size: 4000, Search Value: 7981, Comparisons: 11, Time: 371ms, Found: 1
Array Size: 4000, Search Value: 7986, Comparisons: 11, Time: 448ms, Found: 1
Array Size: 4000, Search Value: 7989, Comparisons: 11, Time: 366ms, Found: 1
Array Size: 4000, Search Value: 7978, Comparisons: 11, Time: 461ms, Found: 1
Array Size: 4000, Search Value: 7986, Comparisons: 11, Time: 282ms, Found: 1
Array Size: 4000, Search Value: 7985, Comparisons: 11, Time: 415ms, Found: 1
Array Size: 4000, Search Value: 7990, Comparisons: 11, Time: 319ms, Found: 1
Array Size: 4000, Search Value: 7981, Comparisons: 11, Time: 530ms, Found: 1
Array Size: 4000, Search Value: 7980, Comparisons: 11, Time: 479ms, Found: 1
Array Size: 4000, Search Value: 7982, Comparisons: 11, Time: 622ms, Found: 1
Array Size: 4000, Search Value: 7984, Comparisons: 11, Time: 372ms, Found: 1
Array Size: 4000, Search Value: 7987, Comparisons: 11, Time: 439ms, Found: 1
Array Size: 4000, Search Value: 7989, Comparisons: 11, Time: 500ms, Found: 1
Array Size: 4000, Search Value: 7982, Comparisons: 11, Time: 500ms, Found: 1
Array Size: 4000, Search Value: 7977, Comparisons: 10, Time: 339ms, Found: 1
