Array Size: 4000, Search Value: 3926, Comparisons: 11, Time: 357ms, Found: 1
Array Size: 4000, Search Value: 3925, Comparisons: 11, Time: 739ms, Found: 1
Array Size: 4000, Search Value: 4099, Comparisons: 10, Time: 459ms, Found: 1
Array Size: 4000, Search Value: 3876, Comparisons: 11, Time: 580ms, Found: 1
Array Size: 4000, Search Value: 3968, Comparisons: 11, Time: 621ms, Found: 1
Array Size: 4000, Search Value: 3991, Comparisons: 1, Time: 229ms, Found: 1
Array Size: 4000, Search Value: 4037, Comparisons: 11, Time: 276ms, Found: 1
Array Size: 4000, Search Value: 3977, Comparisons: 11, Time: 491ms, Found: 1
Array Size: 4000, Search Value: 4017, Comparisons: 11, Time: 336ms, Found: 1
Array Size: 4000, Search Value: 4042, Comparisons: 11, Time: 658ms, Found: 1
Array Size: 4000, Search Value: 3863, Comparisons: 11, Time: 608ms, Found: 1
Array Size: 4000, Search Value: 4017, Comparisons: 11, Time: 431ms, Found: 1
Array Size: 4000, Search Value: 4017, Comparisons: 11, Time: 403ms, Found: 1
Array Size: 4000, Search Value: 4141, Comparisons: 11, Time: 343ms, Found: 1
Array Size: 4000, Search Value: 3994, Comparisons: 11, Time: 502ms, Found: 1
Array Size: 4000, Search Value: 4001, Comparisons: 11, Time: 304ms, Found: 1
Array Size: 4000, Search Value: 4021, Comparisons: 11, Time: 426ms, Found: 1
Array Size: 4000, Search Value: 4025, Comparisons: 11, Time: 378ms, Found: 1
Array Size: 4000, Search Value: 3956, Comparisons: 11, Time: 509ms, Found: 1
Array Size: 4000, Search Value: 3983, Comparisons: 11, Time: 372ms, Found: 1
Array Size: 4000, Search Value: 4016, Comparisons: 11, Time: 363ms, Found: 1
Array Size: 4000, Search Value: 4000, Comparisons: 1, Time: 176ms, Found: 1
Array Size: 4000, Search Value: 4106, Comparisons: 11, Time: 906ms, Found: 1
Array Size: 4000, Search Value: 3938, Comparisons: 11, Time: 438ms, Found: 1
Array Size: 4000, Search Value: 3987, Comparisons: 1, Time: 136ms, Found: 1
Array Size: 4000, Search Value: 3905, Comparisons: 11, Time: 374ms, Found: 1
Array Size: 4000, Search Value: 4069, Comparisons: 11, Time: 391ms, Found: 1
Array Size: 5000, Search Value: 4900, Comparisons: 12, Time: 961ms, Found: 1
Array Size: 5000, Search Value: 5008, Comparisons: 1, Time: 175ms, Found: 1
Array Size: 5000, Search Value: 5140, Comparisons: 11, Time: 691ms, Found: 1
Array Size: 5000, Search Value: 4950, Comparisons: 11, Time: 338ms, Found: 1
Array Size: 5000, Search Value: 5048, Comparisons: 11, Time: 756ms, Found: 1
Array Size: 5000, Search Value: 4979, Comparisons: 1, Time: 191ms, Found: 1
Array Size: 5000, Search Value: 4953, Comparisons: 1, Time: 418ms, Found: 1
Array Size: 5000, Search Value: 5090, Comparisons: 12, Time: 555ms, Found: 1
Array Size: 5000, Search Value: 5057, Comparisons: 12, Time: 479ms, Found: 1
Array Size: 5000, Search Value: 4988, Comparisons: 12, Time: 567ms, Found: 1
Array Size: 5000, Search Value: 4934, Comparisons: 12, Time: 499ms, Found: 1
Array Size: 5000, Search Value: 4910, Comparisons: 11, Time: 696ms, Found: 1
Array Size: 5000, Search Value: 5011, Comparisons: 11, Time: 432ms, Found: 1
Array Size: 5000, Search Value: 5006, Comparisons: 12, Time: 668ms, Found: 1
Array Size: 5000, Search Value: 4955, Comparisons: 1, Time: 148ms, Found: 1
Array Size: 5000, Search Value: 4985, Comparisons: 12, Time: 961ms, Found: 1
Array Size: 5000, Search Value: 5128, Comparisons: 12, Time: 370ms, Found: 1
Array Size: 5000, Search Value: 4791, Comparisons: 11, Time: 854ms, Found: 1
Array Size: 5000, Search Value: 4982, Comparisons: 11, Time: 373ms, Found: 1
Array Size: 5000, Search Value: 4904, Comparisons: 1, Time: 150ms, Found: 1
Array Size: 5000, Search Value: 4876, Comparisons: 12, Time: 709ms, Found: 1
Array Size: 5000, Search Value: 5082, Comparisons: 12, Time: 533ms, Found: 1
Array Size: 5000, Search Value: 4959, Comparisons: 12, Time: 478ms, Found: 1
Array Size: 5000, Search Value: 5037, Comparisons: 11, Time: 547ms, Found: 1
Array Size: 5000, Search Value: 5001, Comparisons: 12, Time: 445ms, Found: 1
Array Size: 5000, Search Value: 4867, Comparisons: 12, Time: 813ms, Found: 1
Array Size: 5000, Search Value: 5014, Comparisons: 11, Time: 355ms, Found: 1
Array Size: 5000, Search Value: 5054, Comparisons: 12, Time: 838ms, Found: 1
Array Size: 5000, Search Value: 4977, Comparisons: 11, Time: 483ms, Found: 1
Array Size: 5000, Search Value: 5003, Comparisons: 1, Time: 237ms, Found: 1
Array Size: 5000, Search Value: 5115, Comparisons: 11, Time: 621ms, Found: 1
Array Size: 5000, Search Value: 5062, Comparisons: 12, Time: 469ms, Found: 1
Array Size: 5000, Search Value: 4974, Comparisons: 12, Time: 447ms, Found: 1
Array Size: 5000, Search Value: 4997, Comparisons: 12, Time: 370ms, Found: 1
Array Size: 5000, Search Value: 5047, Comparisons: 12, Time: 447ms, Found: 1
Array Size: 5000, Search Value: 5033, Comparisons: 12, Time: 510ms, Found: 1
Array Size: 5000, Search Value: 4975, Comparisons: 1, Time: 273ms, Found: 1
Array Size: 5000, Search Value: 5012, Comparisons: 11, Time: 508ms, Found: 1
Array Size: 5000, Search Value: 4904, Comparisons: 11, Time: 281ms, Found: 1
Array Size: 5000, Search Value: 4978, Comparisons: 1, Time: 130ms, Found: 1
Array Size: 5000, Search Value: 5016, Comparisons: 1, Time: 132ms, Found: 1
Array Size: 5000, Search Value: 5017, Comparisons: 12, Time: 644ms, Found: 1
Array Size: 5000, Search Value: 5022, Comparisons: 12, Time: 439ms, Found: 1
Array Size: 5000, Search Value: 4889, Comparisons: 12, Time: 692ms, Found: 1
Array Size: 5000, Search Value: 5038, Comparisons: 12, Time: 518ms, Found: 1
Array Size: 5000, Search Value: 5027, Comparisons: 11, Time: 485ms, Found: 1
Array Size: 5000, Search Value: 5122, Comparisons: 12, Time: 454ms, Found: 1
Array Size: 5000, Search Value: 5062, Comparisons: 12, Time: 455ms, Found: 1
Array Size: 5000, Search Value: 5033, Comparisons: 1, Time: 157ms, Found: 1
Array Size: 5000, Search Value: 4950, Comparisons: 11, Time: 390ms, Found: 1
Array Size: 6000, Search Value: 6101, Comparisons: 12, Time: 528ms, Found: 1
Array Size: 6000, Search Value: 6110, Comparisons: 11, Time: 508ms, Found: 1
Array Size: 6000, Search Value: 5949, Comparisons: 12, Time: 796ms, Found: 1
Array Size: 6000, Search Value: 6035, Comparisons: 1, Time: 179ms, Found: 1
Array Size: 6000, Search Value: 6201, Comparisons: 11, Time: 928ms, Found: 1
Array Size: 6000, Search Value: 5932, Comparisons: 11, Time: 446ms, Found: 1
Array Size: 6000, Search Value: 6096, Comparisons: 1, Time: 438ms, Found: 1
Array Size: 6000, Search Value: 5952, Comparisons: 1, Time: 877ms, Found: 1
Array Size: 6000, Search Value: 5914, Comparisons: 11, Time: 853ms, Found: 1
Array Size: 6000, Search Value: 5955, Comparisons: 1, Time: 161ms, Found: 1
Array Size: 6000, Search Value: 5998, Comparisons: 12, Time: 499ms, Found: 1
Array Size: 6000, Search Value: 6036, Comparisons: 12, Time: 268ms, Found: 1
Array Size: 6000, Search Value: 6065, Comparisons: 1, Time: 132ms, Found: 1
Array Size: 6000, Search Value: 6061, Comparisons: 11, Time: 361ms, Found: 1
Array Size: 6000, Search Value: 5956, Comparisons: 12, Time: 480ms, Found: 1
Array Size: 6000, Search Value: 5997, Comparisons: 11, Time: 374ms, Found: 1
Array Size: 6000, Search Value: 6017, Comparisons: 1, Time: 138ms, Found: 1
